task_family,hidden_variable,count,safe_completion,task_success,regret,unsafe_rate,slip_rate,damage_rate,alias_rate,abstain_rate,certificate_precision,certificate_recall,boundary_f1,irreducible_score,hidden_need
lift,backlash,9,0.5333171492638413,0.6423941047670823,0.4327170649654,0.3635898516774698,0.2963910443520928,0.2592519399168835,0.8240867574879132,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.3056998331024543,0.6430979916384277
lift,cable_tension,9,0.5073421904631649,0.6223130761261099,0.4627719073440412,0.3832362855431502,0.30915542757236714,0.27073988481513045,0.8377505833132696,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.33761079115314024,0.6702334524220905
lift,compliance,9,0.5217734139206248,0.6325845362365045,0.4413507547638843,0.36937040771959956,0.30073115677878826,0.26315804110090935,0.8218129009091144,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.3165501141691929,0.6362468440268537
lift,contact_mode,9,0.34254108084991486,0.4925847715165815,0.6448821766097876,0.5001456355555555,0.37759608888888885,0.33233648,1.0,0.0,0.5661333333333334,0.011111111111111112,0.019444444444444445,0.5087124444444444,1.0
lift,fluid_fill,9,0.5412727075920283,0.6474042090423252,0.41792941789249466,0.3537716715009903,0.2894137902651522,0.25297241123863695,0.8237019539897391,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.28825669788510283,0.6395024916244111
lift,friction,9,0.5142972202731652,0.6273919965991723,0.45300432545380453,0.3769825877533569,0.3056947950699731,0.2676253155629758,0.8269135657252572,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.32895920989715505,0.6463634803693933
lift,grasp_affordance,9,0.5207973914616023,0.6330281476614029,0.44876218433312914,0.3741025206660013,0.303334543951844,0.26550108955665963,0.8301772924792963,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.3230585821018324,0.6548229169898488
lift,local_geometry,9,0.5152984859376513,0.6286902335702194,0.4546204547306209,0.3779724921085601,0.3060429992610692,0.2679386993349623,0.8307783233227091,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.3298297203748953,0.6541630262781257
lift,occlusion_depth,9,0.516011728099584,0.6283290733151584,0.44972452733605184,0.37439115071858153,0.3021166359608574,0.26440497236477173,0.8455134558636149,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.3200138121243659,0.682507102273824
lift,payload,9,0.3658213126801353,0.5104315100134686,0.6176736893598677,0.4820339911111111,0.36465919999999996,0.32069327999999986,1.0,0.0,0.5878666666666666,0.022222222222222223,0.03888888888888889,0.47637022222222214,1.0
lift,support_stiffness,9,0.5480205388272953,0.653231555083703,0.4129776151331017,0.3507033875213593,0.2880891566684818,0.2517802410016336,0.8143650544182593,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.2849451138934267,0.624464309797686
lift,surface_anisotropy,9,0.5164170381555595,0.6281081858857953,0.44612979026247757,0.37230382576745275,0.3018432113520939,0.26415889021688455,0.832401682795462,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.31933025060245707,0.6585711812011062
lift,tactile_latency,9,0.5203195458333354,0.6311679405995938,0.4421920288458447,0.36949464922086167,0.2990541521758278,0.26164873695824503,0.8408286543353197,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.31235760266179174,0.6752461088768799
peel,adhesion,9,0.4026395800996389,0.5394930455689523,0.5776240045382977,0.456178218231045,0.3487950141531207,0.3128155127378086,0.9719545177351144,0.0,0.6346666666666667,0.05555555555555555,0.09722222222222222,0.436709757605024,0.9244426550988565
peel,backlash,9,0.7513559476324421,0.8138587311684278,0.189251030026164,0.20834261178661967,0.20989797752537914,0.1878081797728412,0.5613410164613669,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.08946716603567012,0.18361477933952164
peel,cable_tension,9,0.7360571315942803,0.8010345334654372,0.20189446463417943,0.21659133957052296,0.2151334020798017,0.1925200618718215,0.5684112734437652,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.10255572742172642,0.19580487758503595
peel,compliance,9,0.5126946527547878,0.6256460988332033,0.4523230695486281,0.37650482026138504,0.3052460437374379,0.27362143936369415,0.8280711378296985,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.3278373315658171,0.6479373662431751
peel,contact_mode,9,0.4876088342686913,0.6060568856331711,0.48042642729832924,0.3948268378815988,0.31692888016086024,0.2841359921447742,0.8431945734252565,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.3570444226243728,0.678293459574471
peel,fluid_fill,9,0.7463066777775568,0.8089254640506246,0.18996224577068782,0.20872928757689257,0.20981131659790753,0.18773018493811675,0.56524871714393,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.08925051371699103,0.1903521943094582
